Guess,Correct,Misplaced,SecretCode,Win,NumGuesses
"['5', '6', '6', '4']",1,1,5141,False,10
"['5', '4', '6', '3']",1,1,5141,False,10
"['2', '6', '4', '5']",1,1,5141,False,10
"['6', '1', '6', '6']",1,0,5141,False,10
"['1', '2', '1', '5']",0,3,5141,False,10
"['1', '1', '4', '1']",3,0,5141,False,10
"['2', '6', '4', '3']",1,0,5141,False,10
"['5', '6', '2', '5']",1,0,5141,False,10
"['1', '4', '3', '4']",0,2,5141,False,10
"['1', '4', '3', '4']",0,0,5655,False,10
"['3', '4', '4', '4']",0,0,5655,False,10
"['4', '3', '3', '1']",0,0,5655,False,10
"['6', '1', '1', '1']",0,1,5655,False,10
"['2', '6', '5', '6']",2,0,5655,False,10
"['6', '6', '6', '2']",1,0,5655,False,10
"['1', '2', '2', '3']",0,0,5655,False,10
"['3', '1', '4', '1']",0,0,5655,False,10
"['4', '2', '2', '4']",0,0,5655,False,10
"['6', '4', '2', '4']",0,1,5655,False,10
"['4', '3', '5', '3']",0,1,2624,False,10
"['2', '3', '6', '2']",1,2,2624,False,10
"['2', '1', '5', '2']",1,1,2624,False,10
"['1', '3', '3', '2']",0,1,2624,False,10
"['1', '2', '5', '1']",0,1,2624,False,10
"['3', '3', '5', '2']",0,1,2624,False,10
"['5', '1', '1', '5']",0,0,2624,False,10
"['5', '2', '3', '3']",0,1,2624,False,10
"['5', '3', '2', '4']",2,0,2624,False,10
"['4', '1', '6', '5']",0,2,2624,False,10
"['2', '6', '6', '5']",0,0,1444,False,10
"['5', '1', '2', '5']",0,1,1444,False,10
"['3', '6', '3', '5']",0,0,1444,False,10
"['3', '2', '1', '4']",1,1,1444,False,10
"['1', '1', '5', '1']",1,0,1444,False,10
"['3', '5', '3', '2']",0,0,1444,False,10
"['5', '4', '6', '6']",1,0,1444,False,10
"['6', '4', '4', '5']",2,0,1444,False,10
"['6', '4', '5', '3']",1,0,1444,False,10
"['4', '2', '3', '4']",1,1,1444,False,10
"['5', '6', '3', '5']",0,0,2112,False,10
"['4', '4', '2', '5']",0,1,2112,False,10
"['2', '3', '2', '2']",2,0,2112,False,10
"['3', '1', '2', '4']",1,1,2112,False,10
"['3', '5', '3', '1']",0,1,2112,False,10
"['4', '4', '5', '1']",0,1,2112,False,10
"['3', '3', '2', '3']",0,1,2112,False,10
"['2', '3', '4', '4']",1,0,2112,False,10
"['3', '2', '3', '1']",0,2,2112,False,10
"['3', '5', '6', '1']",0,1,2112,False,10
"['2', '4', '5', '3']",1,2,5352,False,10
"['6', '1', '2', '2']",1,0,5352,False,10
"['6', '2', '1', '5']",0,2,5352,False,10
"['4', '6', '3', '2']",1,1,5352,False,10
"['1', '4', '3', '4']",0,1,5352,False,10
"['2', '2', '3', '3']",0,2,5352,False,10
"['6', '6', '1', '6']",0,0,5352,False,10
"['4', '2', '5', '2']",2,0,5352,False,10
"['5', '6', '2', '2']",2,0,5352,False,10
"['1', '6', '6', '6']",0,0,5352,False,10
"['4', '1', '5', '1']",1,0,2553,False,10
"['1', '3', '1', '6']",0,1,2553,False,10
"['2', '2', '6', '2']",1,0,2553,False,10
"['4', '6', '6', '4']",0,0,2553,False,10
"['4', '3', '5', '4']",1,1,2553,False,10
"['4', '4', '1', '3']",1,0,2553,False,10
"['6', '6', '3', '3']",1,0,2553,False,10
"['3', '5', '1', '4']",1,1,2553,False,10
"['5', '3', '3', '6']",0,2,2553,False,10
"['1', '1', '1', '3']",1,0,2553,False,10
"['5', '6', '3', '6']",0,2,4523,False,10
"['6', '2', '4', '6']",0,2,4523,False,10
"['1', '4', '3', '5']",0,3,4523,False,10
"['2', '2', '5', '6']",0,2,4523,False,10
"['2', '6', '1', '5']",0,2,4523,False,10
"['6', '4', '2', '5']",1,2,4523,False,10
"['6', '6', '2', '1']",1,0,4523,False,10
"['3', '1', '5', '4']",0,3,4523,False,10
"['4', '1', '5', '1']",1,1,4523,False,10
"['2', '5', '2', '4']",2,1,4523,False,10
"['6', '1', '5', '6']",0,1,4214,False,10
"['5', '1', '1', '1']",1,0,4214,False,10
"['4', '5', '3', '5']",1,0,4214,False,10
"['1', '5', '3', '6']",0,1,4214,False,10
"['1', '1', '2', '6']",0,2,4214,False,10
"['3', '6', '6', '2']",0,1,4214,False,10
"['3', '3', '4', '4']",1,1,4214,False,10
"['3', '6', '1', '3']",1,0,4214,False,10
"['2', '5', '2', '3']",0,1,4214,False,10
"['3', '2', '5', '5']",1,0,4214,False,10
"['6', '6', '4', '1']",1,0,3543,False,10
"['2', '3', '5', '1']",0,2,3543,False,10
"['1', '4', '6', '3']",1,1,3543,False,10
"['1', '2', '2', '1']",0,0,3543,False,10
"['3', '2', '5', '4']",1,2,3543,False,10
"['1', '2', '6', '6']",0,0,3543,False,10
"['6', '4', '1', '3']",1,1,3543,False,10
"['3', '3', '6', '3']",2,0,3543,False,10
"['4', '5', '4', '4']",2,0,3543,False,10
"['1', '4', '6', '6']",0,1,3543,False,10
"['3', '4', '2', '6']",0,3,6314,False,10
"['4', '4', '4', '1']",0,2,6314,False,10
"['6', '6', '4', '1']",1,2,6314,False,10
"['1', '3', '4', '3']",1,2,6314,False,10
"['3', '2', '3', '4']",1,1,6314,False,10
"['3', '3', '4', '3']",1,1,6314,False,10
"['2', '1', '2', '5']",0,1,6314,False,10
"['4', '6', '5', '3']",0,3,6314,False,10
"['5', '4', '3', '4']",1,1,6314,False,10
"['3', '5', '2', '1']",0,2,6314,False,10
"['6', '1', '2', '1']",1,2,2165,False,10
"['5', '6', '2', '2']",0,3,2165,False,10
"['1', '4', '6', '1']",1,1,2165,False,10
"['5', '3', '3', '1']",0,2,2165,False,10
"['4', '5', '1', '6']",0,3,2165,False,10
"['4', '2', '5', '2']",0,2,2165,False,10
"['4', '1', '6', '5']",3,0,2165,False,10
"['2', '3', '3', '1']",1,1,2165,False,10
"['6', '3', '6', '4']",1,0,2165,False,10
"['5', '2', '1', '1']",0,3,2165,False,10
"['1', '2', '3', '3']",1,0,5536,False,10
"['1', '4', '4', '6']",1,0,5536,False,10
"['2', '4', '6', '1']",0,1,5536,False,10
"['1', '2', '6', '4']",0,1,5536,False,10
"['2', '3', '2', '6']",1,1,5536,False,10
"['2', '2', '2', '1']",0,0,5536,False,10
"['6', '3', '5', '2']",0,3,5536,False,10
"['6', '1', '1', '4']",0,1,5536,False,10
"['2', '4', '6', '1']",0,1,5536,False,10
"['6', '2', '4', '5']",0,2,5536,False,10
"['1', '4', '1', '3']",1,1,4323,False,10
"['6', '2', '3', '3']",1,2,4323,False,10
"['1', '1', '3', '1']",0,1,4323,False,10
"['5', '3', '6', '5']",1,0,4323,False,10
"['6', '3', '3', '3']",2,0,4323,False,10
"['6', '5', '1', '3']",1,0,4323,False,10
"['5', '1', '2', '6']",1,0,4323,False,10
"['3', '4', '4', '5']",0,2,4323,False,10
"['1', '6', '3', '2']",0,2,4323,False,10
"['6', '6', '5', '6']",0,0,4323,False,10
"['5', '5', '3', '2']",0,1,1651,False,10
"['3', '6', '4', '3']",1,0,1651,False,10
"['5', '6', '4', '4']",1,1,1651,False,10
"['3', '6', '1', '1']",2,1,1651,False,10
"['3', '4', '4', '1']",1,0,1651,False,10
"['6', '3', '1', '3']",0,2,1651,False,10
"['6', '5', '6', '3']",0,2,1651,False,10
"['1', '4', '2', '2']",1,0,1651,False,10
"['4', '3', '1', '6']",0,2,1651,False,10
"['1', '1', '2', '5']",1,2,1651,False,10
"['2', '6', '6', '1']",0,1,5446,False,10
"['6', '1', '6', '6']",1,0,5446,False,10
"['4', '6', '2', '6']",1,1,5446,False,10
"['6', '4', '4', '5']",2,2,5446,False,10
"['3', '3', '4', '5']",1,1,5446,False,10
"['3', '6', '3', '6']",1,0,5446,False,10
"['1', '4', '1', '4']",1,1,5446,False,10
"['3', '3', '5', '1']",0,1,5446,False,10
"['4', '2', '4', '5']",1,2,5446,False,10
"['5', '3', '2', '2']",1,0,5446,False,10
"['6', '1', '3', '5']",1,2,1163,False,10
"['3', '3', '1', '1']",0,3,1163,False,10
"['3', '3', '6', '6']",1,1,1163,False,10
"['1', '4', '3', '5']",1,1,1163,False,10
"['5', '5', '1', '4']",0,1,1163,False,10
"['5', '1', '1', '5']",1,1,1163,False,10
"['6', '4', '3', '2']",0,2,1163,False,10
"['1', '3', '2', '4']",1,1,1163,False,10
"['4', '5', '2', '1']",0,1,1163,False,10
"['1', '4', '6', '2']",2,0,1163,False,10
"['3', '6', '6', '5']",0,3,2356,False,10
"['3', '5', '5', '3']",1,1,2356,False,10
"['6', '6', '2', '2']",0,2,2356,False,10
"['6', '1', '5', '5']",1,1,2356,False,10
"['5', '3', '1', '2']",1,2,2356,False,10
"['2', '5', '3', '5']",1,2,2356,False,10
"['6', '4', '2', '2']",0,2,2356,False,10
"['2', '1', '3', '2']",1,1,2356,False,10
"['5', '5', '5', '4']",1,0,2356,False,10
"['2', '6', '2', '4']",1,1,2356,False,10
"['4', '5', '3', '6']",1,1,4215,False,10
"['2', '4', '2', '5']",1,2,4215,False,10
"['4', '3', '3', '6']",1,0,4215,False,10
"['4', '1', '2', '5']",2,2,4215,False,10
"['6', '1', '3', '4']",0,2,4215,False,10
"['5', '4', '2', '6']",0,3,4215,False,10
"['2', '1', '1', '4']",1,2,4215,False,10
"['3', '5', '4', '2']",0,3,4215,False,10
"['5', '4', '4', '3']",0,2,4215,False,10
"['5', '5', '6', '4']",0,2,4215,False,10
"['2', '5', '6', '2']",0,2,3254,False,10
"['6', '4', '1', '5']",0,2,3254,False,10
"['6', '5', '5', '1']",1,0,3254,False,10
"['2', '1', '5', '5']",1,1,3254,False,10
"['1', '2', '1', '3']",1,1,3254,False,10
"['5', '3', '5', '6']",1,1,3254,False,10
"['3', '4', '6', '3']",1,1,3254,False,10
"['5', '2', '6', '6']",1,1,3254,False,10
"['6', '4', '2', '3']",0,3,3254,False,10
"['5', '3', '1', '1']",0,2,3254,False,10
"['4', '1', '3', '2']",0,2,1465,False,10
"['2', '6', '2', '1']",0,2,1465,False,10
"['2', '4', '4', '5']",2,0,1465,False,10
"['4', '5', '2', '3']",0,2,1465,False,10
"['2', '3', '1', '3']",0,1,1465,False,10
"['3', '6', '2', '5']",1,1,1465,False,10
"['1', '1', '3', '4']",1,1,1465,False,10
"['3', '3', '2', '6']",0,1,1465,False,10
"['6', '1', '3', '3']",0,2,1465,False,10
"['3', '1', '1', '3']",0,1,1465,False,10
"['5', '5', '1', '1']",0,0,2433,False,10
"['5', '5', '1', '5']",0,0,2433,False,10
"['1', '6', '3', '3']",2,0,2433,False,10
"['3', '4', '1', '6']",1,1,2433,False,10
"['1', '1', '5', '6']",0,0,2433,False,10
"['4', '2', '5', '1']",0,2,2433,False,10
"['2', '4', '3', '1']",3,0,2433,False,10
"['5', '5', '5', '2']",0,1,2433,False,10
"['6', '4', '5', '3']",2,0,2433,False,10
"['6', '1', '4', '3']",1,1,2433,False,10
"['2', '6', '6', '4']",0,2,3142,False,10
"['3', '6', '3', '5']",1,0,3142,False,10
"['2', '4', '1', '2']",1,2,3142,False,10
"['1', '3', '3', '6']",0,2,3142,False,10
"['6', '6', '3', '4']",0,2,3142,False,10
"['2', '1', '3', '4']",1,3,3142,False,10
"['2', '4', '2', '4']",0,2,3142,False,10
"['1', '1', '5', '6']",1,0,3142,False,10
"['1', '4', '6', '5']",0,2,3142,False,10
"['4', '1', '3', '5']",1,2,3142,False,10
"['6', '5', '3', '2']",0,2,1315,False,10
"['2', '1', '3', '1']",0,3,1315,False,10
"['5', '4', '1', '1']",1,2,1315,False,10
"['4', '2', '4', '3']",0,1,1315,False,10
"['6', '1', '6', '2']",0,1,1315,False,10
"['4', '4', '4', '5']",1,0,1315,False,10
"['2', '5', '3', '6']",0,2,1315,False,10
"['6', '2', '6', '3']",0,1,1315,False,10
"['1', '1', '3', '5']",2,2,1315,False,10
"['4', '4', '3', '1']",0,2,1315,False,10
"['1', '1', '3', '4']",1,0,4544,False,10
"['2', '3', '4', '2']",1,0,4544,False,10
"['6', '2', '1', '3']",0,0,4544,False,10
"['5', '6', '2', '3']",0,1,4544,False,10
"['1', '4', '2', '4']",1,1,4544,False,10
"['1', '1', '2', '5']",0,1,4544,False,10
"['2', '1', '4', '1']",1,0,4544,False,10
"['5', '4', '6', '3']",0,2,4544,False,10
"['6', '5', '5', '4']",2,0,4544,False,10
"['5', '5', '4', '3']",2,0,4544,False,10
"['4', '5', '2', '3']",1,0,1622,False,10
"['6', '3', '3', '3']",0,1,1622,False,10
"['1', '6', '2', '4']",3,0,1622,False,10
"['3', '4', '1', '6']",0,2,1622,False,10
"['6', '5', '1', '3']",0,2,1622,False,10
"['2', '4', '6', '3']",0,2,1622,False,10
"['2', '5', '2', '2']",2,0,1622,False,10
"['2', '6', '4', '5']",1,1,1622,False,10
"['6', '3', '6', '5']",0,1,1622,False,10
"['1', '6', '6', '2']",3,0,1622,False,10
"['5', '6', '4', '5']",2,0,5525,False,10
"['5', '4', '2', '3']",2,0,5525,False,10
"['3', '6', '6', '3']",0,0,5525,False,10
"['1', '6', '1', '2']",0,1,5525,False,10
"['6', '1', '4', '5']",1,0,5525,False,10
"['6', '3', '2', '6']",1,0,5525,False,10
"['2', '3', '6', '1']",0,1,5525,False,10
"['2', '6', '4', '1']",0,1,5525,False,10
"['3', '4', '6', '2']",0,1,5525,False,10
"['4', '1', '2', '6']",1,0,5525,False,10
"['2', '2', '4', '4']",0,0,1113,False,10
"['4', '4', '1', '2']",1,0,1113,False,10
"['1', '6', '1', '2']",2,0,1113,False,10
"['2', '2', '4', '3']",1,0,1113,False,10
"['1', '6', '5', '3']",2,0,1113,False,10
"['5', '5', '1', '1']",1,1,1113,False,10
"['3', '2', '1', '4']",1,1,1113,False,10
"['6', '6', '3', '2']",0,1,1113,False,10
"['5', '2', '3', '2']",0,1,1113,False,10
"['2', '6', '4', '6']",0,0,1113,False,10
"['2', '3', '6', '3']",1,1,3543,False,10
"['5', '5', '6', '3']",2,0,3543,False,10
"['5', '5', '3', '1']",1,1,3543,False,10
"['6', '3', '3', '5']",0,3,3543,False,10
"['1', '5', '5', '3']",2,0,3543,False,10
"['4', '1', '3', '6']",0,2,3543,False,10
"['6', '5', '1', '2']",1,0,3543,False,10
"['3', '4', '4', '1']",2,0,3543,False,10
"['3', '2', '4', '3']",3,0,3543,False,10
"['4', '6', '2', '3']",1,1,3543,False,10
"['2', '3', '2', '5']",3,0,2321,False,10
"['6', '3', '4', '1']",2,0,2321,False,10
"['2', '3', '1', '2']",2,2,2321,False,10
"['4', '5', '1', '1']",1,0,2321,False,10
"['5', '3', '3', '3']",1,0,2321,False,10
"['5', '4', '3', '4']",0,1,2321,False,10
"['4', '2', '2', '2']",1,1,2321,False,10
"['4', '2', '1', '5']",0,2,2321,False,10
"['4', '3', '5', '4']",1,0,2321,False,10
"['5', '5', '4', '5']",0,0,2321,False,10
"['6', '4', '4', '6']",1,1,2645,False,10
"['4', '3', '5', '3']",0,2,2645,False,10
"['4', '5', '2', '2']",0,3,2645,False,10
"['1', '3', '3', '4']",0,1,2645,False,10
"['5', '3', '3', '4']",0,2,2645,False,10
"['1', '3', '4', '1']",1,0,2645,False,10
"['6', '2', '6', '6']",0,2,2645,False,10
"['4', '6', '4', '6']",2,0,2645,False,10
"['4', '2', '1', '2']",0,2,2645,False,10
"['3', '1', '3', '3']",0,0,2645,False,10
"['4', '6', '3', '6']",0,1,2351,False,10
"['1', '6', '3', '3']",0,2,2351,False,10
"['5', '6', '4', '6']",0,1,2351,False,10
"['3', '5', '3', '4']",0,2,2351,False,10
"['3', '6', '1', '3']",0,2,2351,False,10
"['3', '1', '6', '4']",0,2,2351,False,10
"['3', '2', '5', '4']",1,2,2351,False,10
"['1', '1', '1', '3']",0,2,2351,False,10
"['3', '2', '5', '1']",2,2,2351,False,10
"['1', '4', '1', '6']",0,1,2351,False,10
"['5', '6', '3', '3']",2,1,6133,False,10
"['1', '6', '6', '5']",0,2,6133,False,10
"['4', '6', '2', '1']",0,2,6133,False,10
"['3', '5', '5', '2']",0,1,6133,False,10
"['4', '4', '5', '2']",0,0,6133,False,10
"['6', '3', '2', '4']",1,1,6133,False,10
"['3', '5', '4', '2']",0,1,6133,False,10
"['5', '1', '3', '2']",2,0,6133,False,10
"['3', '6', '4', '3']",1,2,6133,False,10
"['3', '4', '2', '3']",1,1,6133,False,10
"['5', '1', '1', '5']",1,0,4412,False,10
"['6', '4', '2', '3']",1,1,4412,False,10
"['2', '2', '6', '6']",0,1,4412,False,10
"['3', '1', '1', '3']",1,0,4412,False,10
"['2', '2', '6', '1']",0,2,4412,False,10
"['1', '4', '1', '2']",3,0,4412,False,10
"['6', '6', '4', '5']",0,1,4412,False,10
"['5', '5', '3', '5']",0,0,4412,False,10
"['5', '3', '4', '2']",1,1,4412,False,10
"['3', '3', '6', '1']",0,1,4412,False,10
"['2', '6', '1', '2']",2,1,2661,False,10
"['3', '5', '1', '2']",0,2,2661,False,10
"['3', '4', '1', '1']",1,0,2661,False,10
"['6', '3', '5', '1']",1,1,2661,False,10
"['2', '4', '3', '6']",1,1,2661,False,10
"['3', '2', '2', '6']",0,2,2661,False,10
"['3', '1', '5', '6']",0,2,2661,False,10
"['5', '4', '3', '6']",0,1,2661,False,10
"['4', '1', '6', '3']",1,1,2661,False,10
"['4', '2', '4', '4']",0,1,2661,False,10
"['1', '4', '5', '4']",1,2,4124,False,10
"['5', '1', '3', '2']",1,1,4124,False,10
"['1', '5', '6', '3']",0,1,4124,False,10
"['4', '3', '5', '1']",1,1,4124,False,10
"['4', '6', '1', '2']",1,2,4124,False,10
"['4', '1', '5', '1']",2,0,4124,False,10
"['5', '4', '5', '1']",0,2,4124,False,10
"['3', '3', '2', '4']",2,0,4124,False,10
"['5', '4', '5', '2']",0,2,4124,False,10
"['1', '3', '4', '3']",0,2,4124,False,10
"['3', '3', '2', '2']",2,0,3345,False,10
"['2', '4', '4', '4']",1,0,3345,False,10
"['6', '4', '1', '1']",0,1,3345,False,10
"['5', '3', '5', '1']",1,1,3345,False,10
"['5', '3', '6', '6']",1,1,3345,False,10
"['3', '6', '5', '2']",1,1,3345,False,10
"['3', '1', '6', '3']",1,1,3345,False,10
"['6', '4', '1', '6']",0,1,3345,False,10
"['4', '1', '4', '3']",1,1,3345,False,10
"['5', '3', '4', '4']",2,1,3345,False,10
"['1', '5', '5', '3']",1,1,3536,False,10
"['5', '6', '4', '6']",1,1,3536,False,10
"['1', '6', '4', '4']",0,1,3536,False,10
"['3', '4', '2', '6']",2,0,3536,False,10
"['4', '5', '4', '4']",1,0,3536,False,10
"['2', '6', '3', '1']",1,1,3536,False,10
"['1', '3', '5', '3']",0,3,3536,False,10
"['2', '1', '3', '6']",2,0,3536,False,10
"['6', '2', '4', '6']",1,0,3536,False,10
"['3', '4', '5', '5']",1,1,3536,False,10
"['4', '2', '2', '2']",0,0,6361,False,10
"['4', '5', '5', '6']",0,1,6361,False,10
"['1', '5', '6', '3']",1,2,6361,False,10
"['5', '4', '4', '2']",0,0,6361,False,10
"['1', '5', '1', '3']",0,2,6361,False,10
"['1', '4', '1', '5']",0,1,6361,False,10
"['6', '6', '6', '5']",2,0,6361,False,10
